CRS,Tiploc,Description,Stannox
ZBW,BROMBLT,BROMLEY-BY-BOW LT,52252
CUS,CUSTMHS,CUSTOM HOUSE,52253
XOW,BOWJ,BOW JUNCTION,52701
CHI,CHINGFD,CHINGFORD,52731
CPT,CLAPTON,CLAPTON,52735
CBH,CAMHTH,CAMBRIDGE HEATH,52738
BET,BTHNLGR,BETHNAL GREEN,52739
AWM,ASHWELC,ASHWELL & MORDEN,53011
BDK,BALDOCK,BALDOCK,53015
ARL,ARLSEY,ARLESEY,53201
BAY,BAYFORD,BAYFORD,53243
CUF,CUFFLEY,CUFFLEY,53245
CWH,CRHL,CREWS HILL,53246
ENC,ENFC,ENFIELD CHASE,53301
BOP,BOWESPK,BOWES PARK,53309
BPK,BRKMNPK,BROOKMANS PARK,53995
XGD,BNDSGRN,BOUNDS GREEN T&R.S.M.D,54101
AAP,ALEXNDP,ALEXANDRA PALACE,54103
DYP,DRYP,DRAYTON PARK,54291
EXR,ESSEXRD,ESSEX ROAD,54295
BLW,BULWELL,BULWELL,55116
ATB,ATNBRO,ATTENBOROUGH,55202
BEE,BESTON,BEESTON,55212
CTO,CRTN,CARLTON,55497
BUJ,BRTJYC,BURTON JOYCE,55499
BSB,BLEASBY,BLEASBY,55505
BIN,BINGHAM,BINGHAM,55625
ALF,ALFRETN,ALFRETON,56127
XDD,CDON,CASTLE DONINGTON,56625
EMD,EMPKWAY,EAST MIDLANDS PARKWAY,56650
CMF,CROMFD,CROMFORD,57009
AMB,AMBERGT,AMBERGATE,57013
XAJ,AMBERGJ,AMBERGATE JN,57110
BLP,BELPER,BELPER,57111
DFI,DUFIELD,DUFFIELD,57114
DBY,DRBY,DERBY,57403
XEP,DRBYEPS,ETCHES PARK SDGS,57412
BUT,BURTNOT,BURTON-ON-TRENT,57712
XUN,BTNUNMD,BARTON UNDER NEEDWOOD RSMD,57725
BWS,BAROWOS,BARROW UPON SOAR,59009
COR,CORBY,CORBY,60011
BDM,BEDFDM,BEDFORD,62011
BSJ,BESJOHN,BEDFORD ST JOHNS,62035
APG,ASPLEYG,ASPLEY GUISE,62051
BWB,BOWBRKH,BOW BRICKHILL,62055
ELS,ELTR,ELSTREE & BOREHAMWOOD,63212
CRI,CRKLWD,CRICKLEWOOD,63405
ZBB,BRBCNLT,BARBICAN,63635
CTT,CSTR,CHURCH STRETTON,64241
CWS,CARSWS,CAERSWS,64312
DVY,DOVYJN,DOVEY JUNCTION,64401
AVY,ABDVY,ABERDOVEY,64409
BRM,BRMOUTH,BARMOUTH,64414
DYF,DYFRYNA,DYFFRYN ARDUDWY,64417
CCC,CRICCTH,CRICCIETH,64503
ABH,ABRE,ABERERCH,64506
BOW,BOWSTRT,BOW STREET,64603
BRH,BORTH,BORTH,64604
AYW,ABRYSTH,ABERYSTWYTH,64607
XBJ,BSBYJN,BUSHBURY JN,65006
COS,COSFORD,COSFORD,65023
ALB,ALBRGHT,ALBRIGHTON,65033
CSL,CODSALL,CODSALL,65034
BBK,BILBROK,BILBROOK,65035
JEQ,BHAMJEW,JEWELLERY QUARTER,65210
BKT,BLKST,BLAKE STREET,65343
BUL,BTLRSLA,BUTLERS LANE,65345
CAO,CNCK,CANNOCK,65512
BWN,BLOXN,BLOXWICH NORTH,65517
BLX,BLOXWCH,BLOXWICH,65519
CRD,CHSRD,CHESTER ROAD,65605
ERD,ERDNGTN,ERDINGTON,65606
ADD,ADERLYP,ADDERLEY PARK,65614
BHM,BHAMNWS,BIRMINGHAM NEW STREET,65630
DUD,DUDESTN,DUDDESTON,65642
AST,ASTON,ASTON,65651
XBY,BSCTYD,BESCOT DOWN SIDE,65700
BSC,BSCTSTA,BESCOT STADIUM,65707
CSY,COSELEY,COSELEY,65807
DDP,DUDLPT,DUDLEY PORT,65811
CRA,CRADLYH,CRADLEY HEATH,65927
BKD,BLAKEDN,BLAKEDOWN,65938
CEH,COLESHL,COLESHILL PARKWAY,66230
XIR,BRDSLYJ,BORDESLEY JN,66324
BSW,BHAMSNH,BIRMINGHAM SNOW HILL,66409
BMO,BHAMMRS,BIRMINGHAM MOOR STREET,66411
BBS,BRDS,BORDESLEY,66412
ACG,ACOCKSG,ACOCKS GREEN,66430
DDG,DORIDGE,DORRIDGE,66433
EWD,ELWD,EARLSWOOD (WEST MIDLANDS),66447
BER,BEARLEY,BEARLEY,66454
CLV,CLAVRDN,CLAVERDON,66455
DZY,DANZEY,DANZEY,66457
BRV,BOURNVL,BOURNVILLE,66503
BTG,BGRN,BARNT GREEN,66525
ALV,ALVCHRC,ALVECHURCH,66527
BMV,BRMSGRV,BROMSGROVE,67003
DTW,DRTWCHS,DROITWICH SPA,67012
CWL,CLWALL,COLWALL,67217
EVE,EVESHAM,EVESHAM,67351
XAY,ABTSWDJ,ABBOTSWOOD JN,67371
ASC,ASHCHRC,ASHCHURCH FOR TEWKESBURY,68071
CNM,CHLTNHM,CHELTENHAM SPA,68076
XCX,ALSTONS,ALSTONE C. SIDINGS,68077
CDU,DURSLEY,CAM & DURSLEY,68140
XIM,AMNGTNJ,AMINGTON JUNCTION,69003
ATH,ATHRSTN,ATHERSTONE,69009
BEP,BERMPRK,BERMUDA PARK,69103
BEH,BEDWRTH,BEDWORTH,69106
CAA,COVAREN,COVENTRY ARENA,69199
COV,COVNTRY,COVENTRY,69202
CNL,CANLEY,CANLEY,69207
BKW,BKSWELL,BERKSWELL,69211
BHI,BHAMINT,BIRMINGHAM INTERNATIONAL,69215
BAN,BNBR,BANBURY,69424
XAN,AYNHOJ,AYNHO JN,69440
BCS,BCSTN,BICESTER NORTH,69502
XYB,BLTCYD,BLETCHLEY YARD,70300
XBQ,BLTCTMD,BLETCHLEY T.M.D.,70302
BLY,BLTCHLY,BLETCHLEY,70306
XBL,BLTCCS,BLETCHLEY C.S.,70309
CED,CHDNGTN,CHEDDINGTON,70319
AYS,AYLSBRY,AYLESBURY,70353
AVP,AYLSPWY,AYLESBURY VALE PARKWAY,70355
AMR,AMERSHM,AMERSHAM,70361
CFO,CHLFNAL,CHALFONT & LATIMER,70366
CLW,CHRW,CHORLEYWOOD,70368
BKM,BERKHMD,BERKHAMSTED,70421
XOE,BONENDJ,BOURNE END JN (HERTS),71009
APS,APSLEY,APSLEY,71023
BWO,BCWD,BRICKET WOOD,71036
BSH,BUSHEY,BUSHEY,72003
CPK,CRPNDPK,CARPENDERS PARK,72004
IMW,CSEAH,IMPERIAL WHARF,72245
ZET,ELCT,EARLS COURT L.T.,72246
ACC,ACTNCTL,ACTON CENTRAL,72252
ZBQ,BRNSTLT,BARONS COURT LT,72260
ZEK,EMBKMNT,EMBANKMENT LT,72353
ZEL,EPHT,ELEPHANT & CASTLE (LT),72359
XCM,CMDNCSD,CAMDEN C.S.D.,72401
XEN,EUSTRES,EUSTON R.E.S.,72402
XEU,EUSTUCS,EUSTON UP CARRIAGE SHED,72406
EUS,EUSTON,LONDON EUSTON,72410
BSP,BRBYPK,BRONDESBURY PARK,72414
BSY,BRBY,BRONDESBURY,72415
CMD,CMDNRD,CAMDEN ROAD,72421
BDS,BONDST,BOND STREET,73112
AML,ACTONML,ACTON MAIN LINE,73240
XAX,ACTONTC,ACTON T.C.,73250
EAL,EALINGB,EALING BROADWAY,73253
DRG,DRAYGRN,DRAYTON GREEN,73271
CBP,CBARPAR,CASTLE BAR PARK,73272
DNM,DENHAM,DENHAM,73450
DGC,DENHMGC,DENHAM GOLF CLUB,73451
BCF,BCNSFLD,BEACONSFIELD,73502
BNM,BNHAM,BURNHAM,73996
COO,COOKHAM,COOKHAM,74013
BNE,BORNEND,BOURNE END,74014
CHO,CHOLSEY,CHOLSEY,74301
DID,DIDCOTP,DIDCOT PARKWAY,74313
APF,APPLEFD,APPLEFORD,74340
CUM,CULHAM,CULHAM,74343
CME,COMBE,COMBE,74452
CBY,CHBURY,CHARLBURY,74454
AUW,ASCTUWD,ASCOTT-UNDER-WYCHWOOD,74463
BIT,BCSTRTN,BICESTER VILLAGE,74557
XJV,BCSTSJ,BICESTER SOUTH JUNCTION,74561
AMT,ALDMSTN,ALDERMASTON,74714
BDW,BEDYN,BEDWYN,74816
CPM,CHIPNHM,CHIPPENHAM,75352
CDT,CDCOT,CALDICOT,76078
CPW,CHEPSTW,CHEPSTOW,76079
CWM,CWMBRAN,CWMBRAN,76239
AGV,ABRGVNY,ABERGAVENNY,76251
CRV,CRAVENA,CRAVEN ARMS,76379
CKY,CRSKEYS,CROSS KEYS,76632
EBV,EBWVPWY,EBBW VALE PARKWAY,76646
EBB,EBWVTN,EBBW VALE TOWN,76647
CDF,CRDFCEN,CARDIFF CENTRAL,77301
DMG,DINASR,DINAS RHONDDA,78014
ABA,ABDARE,ABERDARE,78100
CMH,CMBH,CWMBACH,78110
ACY,ABRCYNS,ABERCYNON,78204
BHD,BRITHDR,BRITHDIR,78349
BGD,BARGOED,BARGOED,78351
ECP,ERGNCHP,ENERGLYN & CHURCHILL PARK,78370
ABE,ABER,ABER,78371
CPH,CRPHLY,CAERPHILLY,78374
COY,CORYTON,CORYTON,78381
BCG,BCHGRV,BIRCHGROVE,78387
CYS,CATHAYS,CATHAYS,78420
CDQ,CARDFQS,CARDIFF QUEEN STREET,78451
CDB,CARDFBR,CARDIFF BAY,78456
DCT,DANESCT,DANESCOURT,78505
XCC,CANTNCS,CARDIFF CANTON SIDINGS,78514
XPC,CANTONS,CANTON SIDINGS,78520
DGL,DGLROAD,DINGLE ROAD,78710
CGN,COGAN,COGAN,78711
EBK,EASTBRK,EASTBROOK,78713
DNS,DINASP,DINAS POWYS,78717
CAD,CADOXTN,CADOXTON,78719
BYD,BARRYDK,BARRY DOCKS,78805
BRY,BARRY,BARRY,78810
BYI,BARRYIS,BARRY ISLAND,78817
BYE,BYNEA,BYNEA,79054
AMF,AMMANFD,AMMANFORD,79064
CYN,CYNGHRD,CYNGHORDY,79078
BHR,BUILTHR,BUILTH ROAD,79080
CIM,CILMERY,CILMERI,79085
DOL,DOLAU,DOLAU,79093
BUK,BKNELL,BUCKNELL,79097
BME,BROOME,BROOME,79099
BNF,BRITFRY,BRITON FERRY,79600
BAJ,BGLAN,BAGLAN,79607
BGN,BRGEND,BRIDGEND,79791
CLR,CLARBRD,CLARBESTON ROAD,80199
CUW,CLYNDRW,CLUNDERWEN,80305
XCI,CMTHNJ,CARMARTHEN JN,80411
CMN,CMTHN,CARMARTHEN,80419
BPW,BRSTPWY,BRISTOL PARKWAY,81109
AVN,AVONMTH,AVONMOUTH,81240
CFN,CLFDOWN,CLIFTON DOWN,81259
XHL,BRSTLCW,BRISTOL BARTON HILL W.R.D.,81432
BTH,BATHSPA,BATH SPA,81501
BRI,BRSTLTM,BRISTOL TEMPLE MEADS,81700
XAB,BRSTMD,BRISTOL HSS,81800
BMT,BDMNSTR,BEDMINSTER,81813
BWT,BRDGWTR,BRIDGWATER,81924
AVF,AVNCLFF,AVONCLIFF,82073
BOA,BRDFDOA,BRADFORD-ON-AVON,82075
DMH,DILTONM,DILTON MARSH,82105
BRU,BRUTON,BRUTON,82299
CLC,CCARY,CASTLE CARY,82301
CNO,CHETNOL,CHETNOLE,82315
BIB,BSPSLYD,BISHOPS LYDEARD WS RWY,83014
BNP,BRNSTPL,BARNSTAPLE,83222
CPN,CHAPLTN,CHAPELTON,83225
EGG,EGGESFD,EGGESFORD,83232
COP,COPLSTN,COPPLESTONE,83238
CDI,CREDITN,CREDITON,83321
EXC,EXETERC,EXETER CENTRAL,83431
DIG,DIGBY,DIGBY & SOWTON,83449
CBK,CBRK,CRANBROOK,83454
AXM,AXMNSTR,AXMINSTER,83466
CKN,CRKRN,CREWKERNE,83470
DWW,DAWLSHW,DAWLISH WARREN,83603
DWL,DAWLISH,DAWLISH,83605
CHS,CHUSTON,CHURSTON T&D RLY,83638
KWR,DMTHKWR,KINGSWEAR (FOR DARTMOUTH),83639
BFL,BUCFAST,BUCKFASTLEIGH,83709
DPT,DEVNPRT,DEVONPORT,84199
DOC,DOCKYDP,DOCKYARD,84200
BFE,BEREFRS,BERE FERRERS,84205
BAS,BEREALS,BERE ALSTON,84207
CSK,CALSTCK,CALSTOCK,84209
COE,COOMBE,COOMBE JUNCTION HALT,84415
CAU,CAUSLND,CAUSELAND,84417
BOD,BODMNPW,BODMIN PARKWAY,85011
BGL,BUGLE,BUGLE,85231
CBN,CBORNE,CAMBORNE,85622
CBB,CARBISB,CARBIS BAY,85713
ESH,ESHER,ESHER,86002
ASN,ADLESTN,ADDLESTONE,86011
CHY,CHTSEY,CHERTSEY,86012
BFN,BYFLANH,BYFLEET & NEW HAW,86022
BKO,BRKWOOD,BROOKWOOD,86041
XDF,BSNGDES,BASINGSTOKE DN E END SDG,86058
BMY,BMLY,BRAMLEY (HANTS),86061
XBT,BSNGSDR,BASINGSTOKE DOWN YARD,86063
XBZ,BSNGSUR,BASINGSTOKE WEST YARD,86064
XBS,BSNGSBM,BASINGSTOKE BARTN ML C.S.D,86065
BSK,BSNGSTK,BASINGSTOKE,86066
ADV,ANDOVER,ANDOVER,86074
XEX,ELGHDCS,EASTLEIGH D.C.S.,86085
ESL,ELGH,EASTLEIGH,86087
XFB,ELGHBRM,EASTLEIGH ARLINGTON (ZG),86092
XEH,ELGHTMD,EASTLEIGH TRSMD,86093
XEW,ELGHABK,ALLBROOK,86104
CFR,CSFD,CHANDLERS FORD,86108
DEN,DEAN,DEAN,86112
BOE,BOTLEY,BOTLEY,86202
BTE,BITERNE,BITTERNE,86216
BUO,BURSLDN,BURSLEDON,86223
BDN,BRDING,BRADING,86295
CSA,COSHAM,COSHAM,86301
BDH,BDHMPTN,BEDHAMPTON,86339
EMS,EMSWTH,EMSWORTH,86343
BOH,BOSHAM,BOSHAM,86373
CCH,CHCHSTR,CHICHESTER,86424
XBN,BOGNCHS,BOGNOR REGIS C.H.S.,86441
BOG,BOGNORR,BOGNOR REGIS,86441
BAA,BRHM,BARNHAM,86451
BEU,BLIEURD,BEAULIEU ROAD,86896
BCU,BKNHRST,BROCKENHURST,86901
CHR,CHRISTC,CHRISTCHURCH,86915
BMH,BOMO,BOURNEMOUTH,86921
XBM,BOMOCSD,BOURNEMOUTH T&R.S.M.D,86923
BSM,BRANKSM,BRANKSOME,86927
BHA,BOMOHAP,BOURNEMOUTH HURN AIRPORT,86928
DCH,DRCHS,DORCHESTER SOUTH,86976
DCW,DRCHW,DORCHESTER WEST,86977
EAR,ERLY,EARLEY,87002
CRN,CRWTHRN,CROWTHORNE,87006
BAW,BCKWATR,BLACKWATER,87009
ASH,ASHH,ASH,87014
ARF,ALRSFRD,ALRESFORD,87018
AON,ALTON,ALTON,87021
BTY,BNTEY,BENTLEY,87024
AHT,ALDRSHT,ALDERSHOT,87031
AHV,ASHVALE,ASH VALE,87041
XEJ,EFNGSHD,EFFINGHAM JN. C.H.S.,87056
CLA,CLANDON,CLANDON,87069
EFF,EFNGHMJ,EFFINGHAM JUNCTION,87071
BKA,BOOKHAM,BOOKHAM,87072
XFF,EFNGJNK,EFFINGHAM JUNCTION NECK,87073
CSD,CBHMSDA,COBHAM & STOKE D'ABERNON,87074
CHL,CHLWTH,CHILWORTH,87082
DKT,DRKGW,DORKING WEST,87084
BTO,BTCHWTH,BETCHWORTH,87085
DPD,DEPDENE,DORKING DEEPDENE,87086
CAM,CMBLEY,CAMBERLEY,87099
BCE,BRACKNL,BRACKNELL,87101
BAG,BAGSHOT,BAGSHOT,87102
ACT,ASCOT,ASCOT,87103
EGH,EGHAM,EGHAM,87107
DAT,DATCHET,DATCHET,87110
AFS,ASFDMSX,ASHFORD (MIDDLESEX),87117
ZAE,ALDGEST,ALDGATE EAST LT,87123
BFD,BNTFORD,BRENTFORD,87144
CHK,CHISWCK,CHISWICK,87148
BNS,BARNES,BARNES,87149
BNI,BNSBDGE,BARNES BRIDGE,87150
BRS,BRLANDS,BERRYLANDS,87170
CLG,CLYGATE,CLAYGATE,87189
BAK,BATRSPK,BATTERSEA PARK,87203
CLP,CLPHHS,CLAPHAM HIGH STREET,87209
XCP,CLPHJCS,CLAPHAM JN. C.S.,87219
CLJ,CLPHMJN,CLAPHAM JUNCTION,87219
XYM,CLPHMYM,CLAPHAM YARD,87221
BAL,BALHAM,BALHAM,87222
ZPU,EPUTNEY,EAST PUTNEY,87243
CTK,CTMSLNK,CITY THAMESLINK,87244
BFR,BLFR,LONDON BLACKFRIARS,87245
EPH,ELPHNAC,ELEPHANT & CASTLE,87246
BRX,BRIXTON,BRIXTON,87248
EAD,ERLFLD,EARLSFIELD,87250
EWW,EWELW,EWELL WEST,87304
CSN,CHSSN,CHESSINGTON NORTH,87405
CSS,CHSSS,CHESSINGTON SOUTH,87411
ZCW,CNDAW,CANADA WATER,87568
XLJ,BRCKLAJ,BRICKLAYERS ARMS JN,87602
DMK,DENMRKH,DENMARK HILL,87606
EDW,EDULWCH,EAST DULWICH,87610
CYP,CRYSTLP,CRYSTAL PALACE,87625
BCY,BROCKLY,BROCKLEY,87629
ANZ,ANERLEY,ANERLEY,87644
MTC,ESTFLDS,MITCHAM EASTFIELDS,87659
CSB,CRSHLTB,CARSHALTON BEECHES,87665
CSH,CRSHLTN,CARSHALTON,87669
BLM,BELM,BELMONT,87675
BAD,BANSTED,BANSTEAD,87677
CHE,CHEAM,CHEAM,87678
EWE,EWELLE,EWELL EAST,87679
EPS,EPSM,EPSOM,87681
XFK,EPSMUS,EPSOM - UP SIDINGS,87682
AHD,ASHD,ASHTEAD,87683
BXW,BOXHAWH,BOX HILL & WESTHUMBLE,87686
DKG,DORKING,DORKING,87687
EPD,EPSDNS,EPSOM DOWNS,87692
ECR,ECROYDN,EAST CROYDON,87701
CAT,CATERHM,CATERHAM,87706
CHP,CHSD,CHIPSTEAD,87710
CDN,COLSTWN,COULSDON TOWN,87713
EBR,EDNB,EDENBRIDGE,87736
DMS,DORMANS,DORMANS,87757
EGR,EGRNSTD,EAST GRINSTEAD,87759
EBT,EDNT,EDENBRIDGE TOWN,87760
CWN,COWDEN,COWDEN,87761
AHS,ASHURST,ASHURST,87763
ERI,ERIDGE,ERIDGE,87764
COH,CBGH,CROWBOROUGH,87766
BXD,BXTD,BUXTED,87768
CDS,COLSDNS,COULSDON SOUTH,87900
ELD,EARLSWD,EARLSWOOD (SURREY),87903
CRW,CRAWLEY,CRAWLEY,87931
CHH,CHRSTSH,CHRISTS HOSPITAL,87948
BIG,BILSHST,BILLINGSHURST,87951
AMY,AMLY,AMBERLEY,87957
ARU,ARUNDEL,ARUNDEL,87958
XXA,ARUNDLJ,ARUNDEL JN,87959
BAB,BALCOMB,BALCOMBE,87963
BUG,BURGESH,BURGESS HILL,87971
BTN,BRGHTN,BRIGHTON,87980
XMP,BRGHMHS,BRIGHTON MONTPELIER C.H.S.,87981
XBP,BRGHTTY,BRIGHTON DOWN SIDING,87981
XDV,BRGHLHS,BRIGHTON L.H.S,87983
AGT,ALDTON,ALDRINGTON,87985
EWR,EWRTHNG,EAST WORTHING,87993
DUR,DRNGTOS,DURRINGTON-ON-SEA,87996
ANG,ANGMRNG,ANGMERING,87998
XYC,CRAWNYD,CRAWLEY NEW YARD,88003
LRB,BRGHLRD,LONDON ROAD (BRIGHTON),88141
CBR,COKSBDG,COOKSBRIDGE,88211
BIP,BSSN,BISHOPSTONE,88238
BRK,BERWICK,BERWICK,88246
XEB,EBOUCS,EASTBOURNE C.S.,88253
EBN,EBOURNE,EASTBOURNE,88254
COB,CODNBCH,COODEN BEACH,88269
CLL,CTNG,COLLINGTON,88274
BEX,BEXHILL,BEXHILL,88275
XOP,BOPEEPJ,BOPEEP JN S.B.,88284
DLH,DOLEHAM,DOLEHAM,88296
CFB,CATFBDG,CATFORD BRIDGE,88311
BIK,BIRKBCK,BIRKBECK,88312
BKJ,BCKNHMJ,BECKENHAM JUNCTION,88315
CLK,CLOCKHS,CLOCK HOUSE,88319
ELE,ELMERSE,ELMERS END,88321
EDN,EDPK,EDEN PARK,88325
CHX,CHRX,LONDON CHARING CROSS,88401
CST,CANONST,LONDON CANNON STREET,88403
BKH,BLKHTH,BLACKHEATH,88416
ELW,ELTHAM,ELTHAM,88418
BXH,BXLYHTH,BEXLEYHEATH,88421
BNH,BRNHRST,BARNEHURST,88422
DEP,DEPTFD,DEPTFORD,88431
XRT,DARTFDJ,DARTFORD JN,88438
AYP,ALBNYPK,ALBANY PARK,88462
BXY,BEXLEY,BEXLEY,88463
CRY,CRFD,CRAYFORD,88464
DFD,DARTFD,DARTFORD,88466
CFT,CFPK,CROFTON PARK,88467
ESD,ELMW,ELMSTEAD WOODS,88468
CTF,CATFORD,CATFORD,88469
BGM,BELNGHM,BELLINGHAM,88471
BEC,BCKNHMH,BECKENHAM HILL,88472
BMS,BROMLYS,BROMLEY SOUTH,88477
BKL,BICKLEY,BICKLEY,88478
XLY,BICKLYJ,BICKLEY JN,88479
BMN,BROMLYN,BROMLEY NORTH,88482
CIT,CHSLHRS,CHISLEHURST,88483
CLD,CHLSFLD,CHELSFIELD,88495
CTN,CRLN,CHARLTON,88515
ABW,ABWD,ABBEY WOOD,88601
BVD,BELVEDR,BELVEDERE,88602
ERH,ERITH,ERITH,88604
ABX,ABWDXR,ABBEY WOOD (CROSSRAIL),88607
XLF,CLFFBM,CLIFFE BRETT MARINE,88735
CTM,CHATHAM,CHATHAM,89007
XXD,CHATMDY,CHATHAM DOCKYARD,89015
CUX,CXTN,CUXTON,89302
AYL,AYLESFD,AYLESFORD,89309
EFL,EFARLGH,EAST FARLEIGH,89322
BEG,BLTRNAB,BELTRING,89329
DNG,DTNG,DUNTON GREEN,89342
BBL,BATABAL,BAT & BALL,89349
ETC,ETCHNGM,ETCHINGHAM,89394
BAT,BATTLE,BATTLE,89398
CWU,CRWHRST,CROWHURST,89399
BRG,BORWGAW,BOROUGH GREEN & WROTHAM,89401
BMG,BARMING,BARMING,89402
BSD,BSTD,BEARSTED,89404
CHG,CRNG,CHARING,89408
EML,EMALING,EAST MALLING,89411
XEV,CHRTLCN,CHART LEACON T&R.S.M.D,89417
ASI,ASHFKI,ASHFORD INTERNATIONAL,89428
AFK,ASHFKY,ASHFORD INTERNATIONAL,89428
APD,APDR,APPLEDORE (KENT),89432
CIL,CLMN,CHILHAM,89443
CRT,CHARTHM,CHARTHAM,89445
CBW,CNTBW,CANTERBURY WEST,89446
DEA,DEAL,DEAL,89465
DMP,DUMPTNP,DUMPTON PARK,89470
BSR,BRSR,BROADSTAIRS,89474
BCH,BCNGNOS,BIRCHINGTON-ON-SEA,89479
CSW,CHSW,CHESTFIELD & SWALECLIFFE,89486
CBE,CNTBE,CANTERBURY EAST,89512
BKS,BEKSBRN,BEKESBOURNE,89513
ADM,ADISHAM,ADISHAM,89514
AYH,ALSHAM,AYLESHAM,89515
XUK,BCKJN,BUCKLAND JN,89521
XXJ,EBSFWJN,EBBSFLEET W JN,89529
EBD,EBSFDOM,EBBSFLEET INTL (DOMESTIC),89530
EBF,EBSFLTI,EBBSFLEET INTERNATIONAL,89530
XXI,EBSFEJN,EBBSFLEET E JN,89532
XXG,CSMLX,CRISMILL CROSSOVER,89554
XXB,CRNGX,CHARING CROSSOVER (CTRL),89564
XIW,ASHFCWJ,ASHFORD WEST JN (CTRL),89566
XIE,ASHFCEJ,ASHFORD EAST JN (CTRL),89572
DVP,DOVERP,DOVER PRIORY,89611
XLM,DOLMORS,DOLLANDS MOOR SDGS,89735
XTP,DOLMEST,DOLLANDS MOOR T.P.L.,89739